Date,High,Low,Volume
2010-06-29,-0.5346400825827706,-0.5412397847396506,2.2344187458922047
2010-06-30,-0.530402727471926,-0.53651329968528,1.9522080449834736
2010-07-01,-0.5339208267336973,-0.5389996277607563,0.34952932857024427
2010-07-02,-0.5361255022710741,-0.5402797174629816,-0.2007029080672827
2010-07-06,-0.5385490817625167,-0.5426429599901669,0.10793824032397185
2010-07-07,-0.5411837472096654,-0.5433404447638153,0.11773126616604282
2010-07-08,-0.5404879453556707,-0.5428563082738711,0.25885448710552156
2010-07-09,-0.54019086141801,-0.5420521493583705,-0.3953482319209996
2010-07-12,-0.5400579554458986,-0.5416828927134979,-0.7256126672993086
2010-07-13,-0.5396123295394075,-0.5417649497456918,-0.6402632303983399
2010-07-14,-0.5384318117871243,-0.541059259268824,-0.3695075104472138
2010-07-15,-0.5373763820085928,-0.5400417520696191,-0.45088969965303705
2010-07-16,-0.5375327419757827,-0.539180153231583,-0.6507710756449415
2010-07-19,-0.536790032131631,-0.5384662570514956,-0.674860489577627
2010-07-20,-0.5371027520660107,-0.539180153231583,-0.7930201371465562
2010-07-21,-0.5378454619101624,-0.5396314669086495,-0.8953822758753562
2010-07-22,-0.5375718319675802,-0.5389175707285623,-0.9480465955041576
2010-07-23,-0.5373294740184359,-0.5383513772064242,-1.0024086112187194
2010-07-26,-0.5373763820085928,-0.5389750106510981,-0.954408488204481
2010-07-27,-0.5376265579560966,-0.5390078334639756,-1.0084667056721173
2010-07-28,-0.5378454619101624,-0.5388026908834908,-1.0357191954698513
2010-07-29,-0.5378610979068814,-0.5392211817476799,-1.009127913621308
2010-07-30,-0.5382050898346991,-0.5395904383925526,-1.0429210009704983
2010-08-02,-0.537790735921646,-0.5389503935414398,-0.9908821483206613
2010-08-03,-0.5370245720824157,-0.5385483140836896,-0.8993137826002753
2010-08-04,-0.5368447581201473,-0.5385236969740315,-0.9560525728349016
2010-08-05,-0.5373372920167954,-0.539180153231583,-0.9769252994471989
2010-08-06,-0.5384239937887647,-0.5396150555022108,-0.9866289728637035
2010-08-09,-0.5385647177592356,-0.5396724954247466,-0.9739766694035097
2010-08-10,-0.5388227117050989,-0.5401894547275682,-0.890235576162735
2010-08-11,-0.5394246975787798,-0.5409854079398495,-0.9766751126556131
2010-08-12,-0.54019086141801,-0.5413628702879415,-0.995725049786357
2010-08-13,-0.5397608715082379,-0.5411413163010179,-1.0059112263009198
2010-08-16,-0.5394872415656558,-0.5406489741078544,-1.0323952852387832
2010-08-17,-0.5390181616640862,-0.5402222775404458,-1.0391681990967119
2010-08-18,-0.5388696196952558,-0.5403699801983949,-1.0117548749329586
2010-08-19,-0.5391354316394785,-0.5405915341853186,-1.0157221226281041
2010-08-20,-0.5392448836165115,-0.5404438315273695,-1.0663134659837663
2010-08-23,-0.5382441798264964,-0.5400417520696191,-0.9247613534015691
2010-08-24,-0.5387758037149419,-0.5400827805857162,-0.998923866621632
2010-08-25,-0.5385647177592356,-0.5404028030112725,-1.0292679503439615
2010-08-26,-0.5383379958068104,-0.5395494098764556,-1.0416879374976828
2010-08-27,-0.5386507157411901,-0.5396314669086495,-1.0513737404290742
2010-08-30,-0.5384005397936863,-0.5395412041732363,-0.9882551870090109
2010-08-31,-0.5387132597280659,-0.5397709638633792,-1.0832725563562577
2010-09-01,-0.5380096398757117,-0.5395494098764556,-1.0307690710934758
2010-09-02,-0.5375796499659397,-0.5389668049478786,-1.0321629689323109
2010-09-03,-0.5375327419757827,-0.5386796053351999,-1.0415449736167766
2010-09-07,-0.5377672819265675,-0.5388108965867102,-1.0757133411533453
2010-09-08,-0.5378063719183649,-0.5387288395545162,-1.0676716228523746
2010-09-09,-0.53772819193477,-0.5386549882255417,-1.0519813369229252
2010-09-10,-0.5378220079150838,-0.5394181186249453,-1.0501228064711454
2010-09-13,-0.5378454619101624,-0.5388108965867102,-1.0547333916303685
2010-09-14,-0.537298202024998,-0.538786279477052,-1.0022120358824733
2010-09-15,-0.5369854820906182,-0.5385729311933478,-0.9968687608336062
2010-09-16,-0.5360785942809172,-0.5385319026772508,-0.6394769290533561
2010-09-17,-0.5375171059790637,-0.5393852958120677,-0.905032337836521
2010-09-20,-0.5374936519839851,-0.5390898904961695,-0.9498872554708242
2010-09-21,-0.5373372920167954,-0.5386713996319805,-0.9769610404174255
2010-09-22,-0.5378063719183649,-0.5393852958120677,-0.9471352007633809
2010-09-23,-0.5384396297854838,-0.5396314669086495,-0.9998173908772954
2010-09-24,-0.5384005397936863,-0.5395083813603586,-1.0157578635983306
2010-09-27,-0.5379158238953978,-0.539180153231583,-1.0444042512348994
2010-09-28,-0.5373842000069523,-0.538597548303006,-0.9021730602183982
2010-09-29,-0.5369620280955397,-0.5382939372838884,-0.76728663858345
2010-09-30,-0.5368682121152258,-0.5390652733865113,-0.7268099898018976
2010-10-01,-0.5379627318855548,-0.5389668049478786,-1.0123982123970363
2010-10-04,-0.5376343759544561,-0.5389750106510981,-1.004195659730046
2010-10-05,-0.5375483779725017,-0.5383924057225211,-1.0598800913429898
2010-10-06,-0.5375640139692206,-0.5389585992446593,-1.0632040015740576
2010-10-07,-0.5380487298675092,-0.5389421878382205,-1.094012717909332
2010-10-08,-0.5379314598921169,-0.5389011593221235,-1.0713529427857078
2010-10-11,-0.5380018218773522,-0.539163741825144,-1.0886158314051249
2010-10-12,-0.5383301778084508,-0.5391965646380217,-1.0756061182426657
2010-10-13,-0.5378845519019598,-0.5389257764317816,-1.0623462182886207
2010-10-14,-0.537743827931489,-0.5388929536189041,-1.0665279118051254
2010-10-15,-0.5378454619101624,-0.539016039167195,-1.0683328308015656
2010-10-18,-0.5380487298675092,-0.5390406562768532,-1.0901169521546394
2010-10-19,-0.5382285438297775,-0.5392211817476799,-1.0753916724213066
2010-10-20,-0.5380096398757117,-0.5391883589348022,-1.0633648359400771
2010-10-21,-0.5378063719183649,-0.5388519251028071,-1.0446723085115985
2010-10-22,-0.5378220079150838,-0.5387698680706131,-1.090420750401565
2010-10-25,-0.5377829179232865,-0.5386221654126642,-1.0980335770598173
2010-10-26,-0.5370871160692917,-0.5388026908834908,-1.0011040658054506
2010-10-27,-0.5374701979889067,-0.5386878110384193,-1.055501822490239
2010-10-28,-0.5373763820085928,-0.5384334342386181,-1.0791444742950929
2010-10-29,-0.5371027520660107,-0.5383595829096435,-1.0690655206912096
2010-11-01,-0.5363991322136563,-0.5381462346259394,-1.0377564307727638
2010-11-02,-0.5370792980709321,-0.5383595829096435,-1.0615777874287502
2010-11-03,-0.5365945821726437,-0.5382693201742302,-1.052624674387003
2010-11-04,-0.5343820886369074,-0.5374569555555102,-0.7843172108963946
2010-11-05,-0.5346635365778492,-0.5361686601500655,-0.9385394974238989
2010-11-08,-0.5346400825827706,-0.5359142833502643,-1.0281599802669388
2010-11-09,-0.5341006406959656,-0.5358978719438255,-0.9482967822957433
2010-11-10,-0.5307545373981031,-0.5358978719438255,-0.5722839050274677
2010-11-11,-0.5314347032553789,-0.5332064012878645,-0.7715755550106344
2010-11-12,-0.5303401834850501,-0.5325991792496294,-0.6315066926928384
2010-11-15,-0.528432591885334,-0.5308349530574598,-0.6504851478831293
2010-11-16,-0.5296365636326957,-0.5323119796369506,-0.8783874445326382
2010-11-17,-0.5301447335260627,-0.5321560712757821,-0.9851814635695288
2010-11-18,-0.5301525515244222,-0.531901694475981,-0.9483503937510831
2010-11-19,-0.5296600176277743,-0.5312616496248683,-0.9136101706908898
